id,text,language,scam_or_safe,scam_type,source,indicators,split
ss-000001,"PNB: Rs.250.00 debited from a/c XX12 on 01-Sep at POS. If not you, use official PNB app.",en,safe,safe,synthetic_scamshield,none,train
ss-000002,"Aapka parcel customs me atka hai, ₹35 pay karke release kare",en,scam,delivery,hf_karanverma19,delivery,train
ss-000003,"Aapka email hack ho gaya, password http://192.0.2.10/login pe reset karo.",hinglish,scam,phishing,synthetic_scamshield,suspicious_url|urgency|sensitive_info_request,train
ss-000004,"Axis a/c XX47 se Rs.1,200.50 debit 12-Aug ko. Dispute ke liye official app use karo, koi link nahi.",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000005,Tesla profit sharing India. Invest Rs 5000 via UPI to join.,en,scam,investment,synthetic_scamshield,investment_return|payment_request|urgency,train
ss-000009,SBI mini statement: last txn Rs.250.00 at grocery store.,en,safe,safe,synthetic_scamshield,none,train
ss-000016,तुरंत SBI केवाईसी पूरा करें वरना आपका खाता ब्लॉक हो जाएगा http://192.0.2.10/login,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000017,This is SBI official. Your account will be closed. Call and share OTP now.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000018,HDFC कस्टमर केयर से बात करें और पिन शेयर करें।,hi,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,train
ss-000021,"Court summons aaya hai, fine http://verify-kyc.example.in/update pe bharo warna arrest.",hinglish,scam,other,synthetic_scamshield,urgency|suspicious_url|impersonation,train
ss-000023,Your Axis video KYC appointment is booked in the official app only. Ignore other SMS links.,en,safe,safe,synthetic_scamshield,none,train
ss-000024,HDFC security: unusual login detected. Confirm PIN on http://192.0.2.10/login within 10 minutes.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000028,"Aapka parcel customs me atka hai, ₹35 pay karke release kare please act now",hi,scam,delivery,hf_karanverma19,delivery,train
ss-000029,मी तुझा मित्र. वॉलेट चोरीला. या UPI वर पैसे पाठव.,mr,scam,social_impersonation,synthetic_scamshield,social_impersonation|payment_request|urgency,train
ss-000030,बिना कागज़ लोन। पहले GST http://verify-kyc.example.in/update पर चुकाएँ।,hi,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,train
ss-000031,Your SBI debit card is blocked. Share OTP and login at http://192.0.2.10/login to unblock.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000033,Your Axis KYC is pending. Update now at http://verify-kyc.example.in/update or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000034,"UPI collect request approve karo http://verify-kyc.example.in/update pe, warna paise kat jayenge.",hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000035,SBI अधिकृत संदेश: पिन शेअर करा आणि http://verify-kyc.example.in/update उघडा.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000037,Aapke account me 1 rupee pending hai Google Pay. http://verify-kyc.example.in/update pe pay karke 25000 claim karo.,hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000038,You are pre-approved for an instant loan. Click http://verify-kyc.example.in/update and pay processing fee.,en,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,train
ss-000039,"Axis: Rs.1,200.50 debited from a/c XX47 on 12-Aug at POS. If not you, use official Axis app.",en,safe,safe,synthetic_scamshield,none,train
ss-000040,Your ICICI KYC is pending. Update now at http://192.0.2.10/login or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000041,Collect cashback on PhonePe: enter UPI PIN at http://192.0.2.10/login now.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000042,पुस्तकें पुस्तकालय में जमा कर दो।,hi,safe,safe,synthetic_scamshield,none,train
