message,label,reason,domain,language
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your order has been shipped and will arrive tomorrow please act now,legit,Normal transactional message,telecom,English
"Aapka parcel customs me atka hai, ₹35 pay karke release kare please act now",scam,"Urgency, reward or suspicious instruction",telecom,Hinglish
Your payment of ₹899 has been received jaldi kare,legit,Normal transactional message,government,English
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",finance,Hindi
Your parcel has been delivered successfully immediately,legit,Normal transactional message,government,Hinglish
"Aapka ATM card block ho gaya hai, details update kare jaldi kare",scam,"Urgency, reward or suspicious instruction",telecom,English
Your train ticket has been booked successfully please act now,legit,Normal transactional message,finance,Hindi
"You are selected for instant loan approval, click to proceed immediately",scam,"Urgency, reward or suspicious instruction",government,English
Thank you for your purchase,legit,Normal transactional message,ecommerce,Hinglish
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,English
Your order has been shipped and will arrive tomorrow jaldi kare,legit,Normal transactional message,ecommerce,English
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your payment of ₹899 has been received please act now,legit,Normal transactional message,telecom,Hindi
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें abhi kare",scam,"Urgency, reward or suspicious instruction",finance,Hindi
Your parcel has been delivered successfully immediately,legit,Normal transactional message,banking,English
"Aapka ATM card block ho gaya hai, details update kare abhi kare",scam,"Urgency, reward or suspicious instruction",banking,English
Your train ticket has been booked successfully,legit,Normal transactional message,finance,Hinglish
"You are selected for instant loan approval, click to proceed please act now",scam,"Urgency, reward or suspicious instruction",finance,Hinglish
Thank you for your purchase jaldi kare,legit,Normal transactional message,government,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें abhi kare",scam,"Urgency, reward or suspicious instruction",banking,Hindi
Your order has been shipped and will arrive tomorrow abhi kare,legit,Normal transactional message,telecom,Hinglish
"Aapka parcel customs me atka hai, ₹35 pay karke release kare abhi kare",scam,"Urgency, reward or suspicious instruction",finance,Hinglish
Your payment of ₹899 has been received abhi kare,legit,Normal transactional message,finance,English
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें please act now",scam,"Urgency, reward or suspicious instruction",government,English
Your parcel has been delivered successfully,legit,Normal transactional message,banking,Hinglish
"Aapka ATM card block ho gaya hai, details update kare",scam,"Urgency, reward or suspicious instruction",government,English
Your train ticket has been booked successfully jaldi kare,legit,Normal transactional message,telecom,Hinglish
"You are selected for instant loan approval, click to proceed please act now",scam,"Urgency, reward or suspicious instruction",banking,Hinglish
Thank you for your purchase immediately,legit,Normal transactional message,government,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें please act now",scam,"Urgency, reward or suspicious instruction",banking,Hindi
Your order has been shipped and will arrive tomorrow immediately,legit,Normal transactional message,utilities,Hinglish
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your payment of ₹899 has been received immediately,legit,Normal transactional message,finance,English
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें immediately",scam,"Urgency, reward or suspicious instruction",utilities,Hindi
Your parcel has been delivered successfully abhi kare,legit,Normal transactional message,ecommerce,Hinglish
