id,text,language,scam_or_safe,scam_type,source,indicators,split
ss-000001,"PNB: Rs.250.00 debited from a/c XX12 on 01-Sep at POS. If not you, use official PNB app.",en,safe,safe,synthetic_scamshield,none,train
ss-000002,"Aapka parcel customs me atka hai, ₹35 pay karke release kare",en,scam,delivery,hf_karanverma19,delivery,train
ss-000003,"Aapka email hack ho gaya, password http://192.0.2.10/login pe reset karo.",hinglish,scam,phishing,synthetic_scamshield,suspicious_url|urgency|sensitive_info_request,train
ss-000004,"Axis a/c XX47 se Rs.1,200.50 debit 12-Aug ko. Dispute ke liye official app use karo, koi link nahi.",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000005,Tesla profit sharing India. Invest Rs 5000 via UPI to join.,en,scam,investment,synthetic_scamshield,investment_return|payment_request|urgency,train
ss-000006,"Aapka parcel customs me atka hai, Rs 35 pay karke release kare http://192.0.2.10/login",hinglish,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,test
ss-000007,"Bina documents loan, pehle GST http://verify-kyc.example.in/update pe pay karo.",hinglish,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,test
ss-000008,आपका SBI KYC समाप्त हो गया है। खाता बंद होने से पहले http://verify-kyc.example.in/update पर अपडेट करें।,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
ss-000009,SBI mini statement: last txn Rs.250.00 at grocery store.,en,safe,safe,synthetic_scamshield,none,train
ss-000010,"SIM block ho jayegi TRAI ke hisaab se, http://verify-kyc.example.in/update pe KYC karo.",hinglish,scam,other,synthetic_scamshield,urgency|suspicious_url|impersonation,validation
ss-000011,SBI हेल्पलाइन: CVV द्या म्हणजे कार्ड सुरू होईल.,mr,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,validation
ss-000012,"आपका KYC पूरा नहीं है, तुरंत अपडेट करें immediately",hi,scam,kyc,hf_karanverma19,urgency|kyc_language|kyc,test
ss-000013,SBI कस्टमर केयर से बात करें और पिन शेयर करें।,hi,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,validation
ss-000014,Your SBI KYC is pending. Update now at http://verify-kyc.example.in/update or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
ss-000015,"Your FASTag was recharged Rs.1,200.50 from linked Bank of Baroda account.",en,safe,safe,synthetic_scamshield,none,test
ss-000016,तुरंत SBI केवाईसी पूरा करें वरना आपका खाता ब्लॉक हो जाएगा http://192.0.2.10/login,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000017,This is SBI official. Your account will be closed. Call and share OTP now.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000018,HDFC कस्टमर केयर से बात करें और पिन शेयर करें।,hi,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,train
ss-000019,SBI खाते ब्लॉक होणार आहे. OTP http://192.0.2.10/login वर द्या.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,test
ss-000020,"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें immediately",hi,scam,bank_impersonation,hf_karanverma19,urgency|bank_impersonation,test
ss-000021,"Court summons aaya hai, fine http://verify-kyc.example.in/update pe bharo warna arrest.",hinglish,scam,other,synthetic_scamshield,urgency|suspicious_url|impersonation,train
ss-000022,"Aapka HDFC KYC expire ho gaya hai, account block hone se pehle link open karo http://192.0.2.10/login.",hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
ss-000023,Your Axis video KYC appointment is booked in the official app only. Ignore other SMS links.,en,safe,safe,synthetic_scamshield,none,train
ss-000024,HDFC security: unusual login detected. Confirm PIN on http://192.0.2.10/login within 10 minutes.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000025,Your train ticket has been booked successfully.,en,safe,safe,synthetic_scamshield,none,test
ss-000026,"Dear customer, your HDFC KYC has expired. Click http://192.0.2.10/login immediately to prevent account blocking.",en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
